Project_Name;Project_URL;Project_Hash;non-order-dependent;not flaky;order-dependent;infrastructure flaky
ChainConsumer;https://github.com/samreay/ChainConsumer;3206a98f5e121ff3e17c30c840710bd7fda59fca;2;215;7;0
ColonyScanalyser;https://github.com/Erik-White/ColonyScanalyser;38034b7d62a7c4f72a9f6981d0218c23f22cc7c8;1;455;2;1
Intervallum;https://github.com/wol4aravio/Intervallum;e314ee624f09b09913475b02470103095fc076ff;1;38;0;0
JavPy;https://github.com/TheodoreKrypton/JavPy;61df53aafbfbd05ed1efa8c51a08d6e9252cb533;8;41;1;1
Lyricfetch;https://github.com/ocaballeror/Lyricfetch;0cf9e3c541712933b1050e942671a92028e11f9c;2;76;0;0
Neuraxle;https://github.com/Neuraxio/Neuraxle;20c6e5713198345b43bf6899355f1b5cf65eb02c;2;413;3;0
OnToma;https://github.com/opentargets/OnToma;0a76f30c03eb44a62223a5c83f13e2f8d9ba67a4;8;15;0;0
Python-Beautifurl;https://github.com/hintofbasil/Python-Beautifurl;312db910400b24d24cb03966a221da2462c4f824;2;12;0;0
Reusables;https://github.com/cdgriffith/Reusables;171ea3dc10a37ed46ff833c48926a995496d2fc6;16;3;108;0
SNData;https://github.com/djperrefort/SNData;e4854f0dc357484b437b15f9dac15f7c589eff58;14;139;14;15
SSMToybox;https://github.com/jacobnzw/SSMToybox;b3a8c05fa1b0d85356ac6554009af38ff2720780;2;84;1;0
Verifone;https://github.com/vilkasgroup/Verifone;5509c08767a9b482cfe5a9572854cf4c73ad6c02;1;29;1;0
WikidataIntegrator;https://github.com/sulab/WikidataIntegrator;2ce3477b47447e335dd5e7413396fecf306c7146;1;27;1;0
aeneas;https://github.com/readbeyond/aeneas;4d200a050690903b30b3d885b44714fecb23f18a;1;819;4;0
aio-usb-hotplug;https://github.com/ntamas/aio-usb-hotplug;7eed5a87c974038db6c2b8e2a998e9b8b79ec5ac;1;14;0;0
aiobfd;https://github.com/netedgeplus/aiobfd;090122474d5bf6266393f0908c13be5812fdb1c3;2;88;1;0
amazonscraper;https://github.com/tducret/amazon-scraper-python;ba10859c0c385c3d4b76429132eb307f4172df0e;2;12;0;0
analytic_shrinkage;https://github.com/matzhaugen/analytic_shrinkage;752a0f90696b1ca27a8b84ada3616cdfc98004a9;2;3;0;0
andriller;https://github.com/den4uk/andriller;5e856ca92ef7e9bf732f28cbd8e341181976654f;1;94;0;0
ashpool;https://github.com/cktc/ashpool;3a35638ecff85da94952cebf7f8684ed564693bc;2;17;2;0
baconql;https://github.com/lsenta/baconql;c5b3bda63e243bf450e593f3d8fdaa437b4d28f3;1;72;0;0
bitcash;https://github.com/sporestack/bitcash;80a61111bd50cf37f6a601eecd0424f04b971514;2;186;0;0
bloomtime;https://github.com/Poogles/bloomtime;94343456192c0a4837ddad2c421d59c7a3fd02fa;1;5;0;0
booking-sites-parser;https://github.com/webmalc/booking-sites-parser;992d6a6f3774eeebfbbd535b5de3baa373137150;4;71;1;0
cenpy;https://github.com/ljwolf/cenpy;03eefcfd885c48e018cf74abaf46ee03aa7ac119;5;13;0;0
centrosome;https://github.com/CellProfiler/centrosome;878a4ef7c3d39dcab893ed27838c9338c5721c5b;2;504;0;0
chazutsu;https://github.com/chakki-works/chazutsu;734828f2f05799a1d59d9280a032bf5996fe3261;8;37;5;0
cityseer;https://github.com/cityseer/cityseer;2d71d5dc962054f6cd1e87b5a61b43e8f4ddbec0;4;61;2;0
compiletools;https://github.com/Zomojo/compiletools;e45c5ad452b86c1fe557961aa4ebefd3f34f6a58;2;38;1;0
compyle;https://github.com/pypr/compyle;f557e49c7e18a49efdb5807ac650ba590db81cb2;132;97;65;0
coo;https://github.com/wilfredinni/coo;da9e75d46ed65599cd2223b029ac30c08496a80b;1;87;1;0
crfmnes;https://github.com/nmasahiro/crfmnes;5fc9625c86135fb5e8824f867a08cc410d3638bd;8;1;1;0
cuckoopy;https://github.com/rajathagasthya/cuckoopy;e5fab0c4826387f99ddafb0365759cb7111cfd64;1;17;0;0
darkchess;https://github.com/vishalsubbiah/darkchess;c626de547c3e58a77f25fddb86de9b07bc47ae86;1;7;1;0
data-genie.git;https://github.com/mkeshav/data-genie.git;cde77b7bdb445557f78d834d72d51bb62ad9e668;2;38;1;0
data-partitioner;https://github.com/brahle/data_partitioner;c37bca05576648c3f69f8694951bb2ae9ea9ed21;1;17;0;0
dcard-spider;https://github.com/leVirve/dcard-spider;ac64cbcfe7ef6be7e554cef422b1a8a6bb968d46;16;22;2;0
deezload;https://github.com/vanyakosmos/deezload;8a25f4657d648a3c70b6287a9828cec724c8fa0e;1;12;1;0
deviceidentifier-py;https://github.com/reincubate/deviceidentifier-py;e6ddf73c6ab3b26a703bca8619fc999dfeaeb5d2;1;4;3;0
dicom-standard;https://github.com/innolitics/dicom-standard;4d40ca75e3af51dd8fc2b027a7f79b6a2f4193cb;4;66;0;0
dict;https://github.com/wufeifei/dict;89e730dbc035da6b5ceb598833d2eafc5343864d;2;0;2;0
dns-over-https;https://github.com/wglodek/dns-over-https;af56580149c8570ea3ba6ea3a5b5b12cf3dadfd2;1;11;0;0
dockerfile_bakery;https://github.com/kujyp/dockerfile_bakery;fc531752d9fe901375636377dac884a6b750e146;3;5;0;0
domain-validation;https://github.com/ElliotVilhelm/python-domain-validation;941a6ae29c565f49e98f106b427624874b47f973;1;5;1;0
dtool-http;https://github.com/jic-dtool/dtool-http;04a13ccb3f252873228ac0d2d4df53c791157217;1;0;4;0
dummy_file_generator;https://github.com/datahappy1/dummy_file_generator;f0a27725e1c04b4b2e0259167f10d8f76cfed9d1;1;6;0;1
fairsearchdeltr-python;https://github.com/fair-search/fairsearchdeltr-python;5bc2e8f0bf24ecd492978474919f512d3c0b65e1;4;7;1;0
filtered-intervaltree;https://github.com/lostinplace/filtered-intervaltree;37da431ed36dc9e7936ebd330869f142538ef79d;1;42;0;0
fissa;https://github.com/rochefort-lab/fissa;2077a8c8a029948dcf1d4c352f785700f42aff9f;66;44;1;0
