Project_Name,Project_URL,Project_Hash,PYPI_TAG,func_to_trace,tests_to_run,num_runs
apache-airflow,https://github.com/apache/airflow,,,,,
celery,https://github.com/celery/celery,,,,,
conan,https://github.com/conan-io/conan,,,,,
django-rest-framework,https://github.com/encode/django-rest-framework,,,,,
electrum,https://github.com/spesmilo/electrum,,,,,
FlexGet,https://github.com/Flexget/Flexget,,,,,
fonttools,https://github.com/fonttools/fonttools,,,,,
graphene,https://github.com/graphql-python/graphene,,,,,
Hydra,https://github.com/facebookresearch/hydra,,,,,
hypothesis,https://github.com/HypothesisWorks/hypothesis,,,,,
ipython,https://github.com/ipython/ipython,,,,,
kombu,https://github.com/celery/kombu,,,,,
apache-libcloud,https://github.com/apache/libcloud,,,,,
loguru,https://github.com/Delgan/loguru,,,,,
mitmproxy,https://github.com/mitmproxy/mitmproxy,,,,,
Pillow,https://github.com/python-pillow/Pillow,,,,,
prefect,https://github.com/PrefectHQ/prefect,,,,,
PyGithub,https://github.com/PyGithub/PyGithub,,,,,
pyramid,https://github.com/Pylons/pyramid,,,,,
requests,https://github.com/psf/requests,,,,,
scikit-image,https://github.com/scikit-image/scikit-image,,,,,
seaborn,https://github.com/mwaskom/seaborn,,,,,
setuptools,https://github.com/pypa/setuptools,,,,,
sunpy,https://github.com/sunpy/sunpy,,,,,
urllib3,https://github.com/urllib3/urllib3,,,,,
xonsh,https://github.com/xonsh/xonsh,,,,,
