Project_Name,Project_URL,Project_Hash,PYPI_TAG,func_to_trace,tests_to_run,num_runs,source
apache-airflow,https://github.com/apache/airflow,,,,,,owain_parry_projects.csv
celery,https://github.com/celery/celery,,,,,,owain_parry_projects.csv
conan,https://github.com/conan-io/conan,,,,,,owain_parry_projects.csv
django-rest-framework,https://github.com/encode/django-rest-framework,,,,,,owain_parry_projects.csv
electrum,https://github.com/spesmilo/electrum,,,,,,owain_parry_projects.csv
FlexGet,https://github.com/Flexget/Flexget,,,,,,owain_parry_projects.csv
fonttools,https://github.com/fonttools/fonttools,,,,,,owain_parry_projects.csv
graphene,https://github.com/graphql-python/graphene,,,,,,owain_parry_projects.csv
Hydra,https://github.com/facebookresearch/hydra,,,,,,owain_parry_projects.csv
hypothesis,https://github.com/HypothesisWorks/hypothesis,,,,,,owain_parry_projects.csv
ipython,https://github.com/ipython/ipython,,,,,,owain_parry_projects.csv
kombu,https://github.com/celery/kombu,,,,,,owain_parry_projects.csv
apache-libcloud,https://github.com/apache/libcloud,,,,,,owain_parry_projects.csv
loguru,https://github.com/Delgan/loguru,,,,,,owain_parry_projects.csv
mitmproxy,https://github.com/mitmproxy/mitmproxy,,,,,,owain_parry_projects.csv
Pillow,https://github.com/python-pillow/Pillow,,,,,,owain_parry_projects.csv
prefect,https://github.com/PrefectHQ/prefect,,,,,,owain_parry_projects.csv
PyGithub,https://github.com/PyGithub/PyGithub,,,,,,owain_parry_projects.csv
pyramid,https://github.com/Pylons/pyramid,,,,,,owain_parry_projects.csv
requests,https://github.com/psf/requests,,,,,,owain_parry_projects.csv
scikit-image,https://github.com/scikit-image/scikit-image,,,,,,owain_parry_projects.csv
seaborn,https://github.com/mwaskom/seaborn,,,,,,owain_parry_projects.csv
setuptools,https://github.com/pypa/setuptools,,,,,,owain_parry_projects.csv
sunpy,https://github.com/sunpy/sunpy,,,,,,owain_parry_projects.csv
urllib3,https://github.com/urllib3/urllib3,,,,,,owain_parry_projects.csv
xonsh,https://github.com/xonsh/xonsh,,,,,,owain_parry_projects.csv
